iata_code,icao_code,city,country,airport_name
CNX,VTCC,Chiang Mai,Thailand,Chiang Mai International Airport
CEI,VTCT,Chiang Rai,Thailand,Chiang Rai International Airport
HDY,VTSS,Hat Yai,Thailand,Hat Yai International Airport
KKC,VTUK,Khon Kaen,Thailand,Khon Kaen Airport
KBV,VTSG,Krabi,Thailand,Krabi Airport
HKT,VTSP,Phuket,Thailand,Phuket International Airport
UBP,VTUU,Ubon Ratchathani,Thailand,Ubon Ratchathani Airport
UTH,VTUD,Udon Thani,Thailand,Udon Thani Airport
AMD,VAAH,Ahmedabad,India,Sardar Vallabhbhai Patel International Airport
BLR,VOBL,Bangalore,India,Kempegowda International Airport
PEK,ZBAA,Beijing,China,Beijing Capital International Airport
BRU,EBBR,Brussels,Belgium,Brussels Airport
TFU,ZUTF,Chengdu,China,Chengdu Tianfu International Airport
MAA,VOMM,Chennai,India,Chennai International Airport
CMB,VCBI,Colombo,Sri Lanka,Bandaranaike International Airport
CPH,EKCH,Copenhagen,Denmark,Copenhagen Airport
DEL,VIDP,Delhi,India,Indira Gandhi International Airport
DPS,WADD,Denpasar,Indonesia,Ngurah Rai International Airport
DAC,VGHS,Dhaka,Bangladesh,Hazrat Shahjalal International Airport
FRA,EDDF,Frankfurt,Germany,Frankfurt Airport
FUK,RJFF,Fukuoka,Japan,Fukuoka Airport
GAY,VEGY,Gaya,India,Gaya Airport
CAN,ZGGG,Guangzhou,China,Guangzhou Baiyun International Airport
HAN,VVNB,Hanoi,Vietnam,Noi Bai International Airport
SGN,VVTS,Ho Chi Minh,Vietnam,Tan Son Nhat International Airport
HKG,VHHH,Hong Kong,Hong Kong,Hong Kong International Airport
HYD,VOHS,Hyderabad,India,Rajiv Gandhi International Airport
ISB,OPRN,Islamabad,Pakistan,Islamabad International Airport
IST,LTFM,Istanbul,Turkiye,Istanbul Airport
CGK,WIII,Jakarta,Indonesia,Soekarno-Hatta International Airport
KHH,RCKH,Kaohsiung,Taiwan,Kaohsiung International Airport
KHI,OPKC,Karachi,Pakistan,Jinnah International Airport
KTM,VNKT,Kathmandu,Nepal,Tribhuvan International Airport
COK,VOCI,Kochi,India,Cochin International Airport
CCU,VECC,Kolkata,India,Netaji Subhash Chandra Bose International Airport
KUL,WMKK,Kuala Lumpur,Malaysia,Kuala Lumpur International Airport
KMG,ZPPP,Kunming,China,Kunming Wujiaba International Airport
LHE,OPLA,Lahore,Pakistan,Allama Iqbal International Airport
LHR,EGLL,London,United Kingdom,Heathrow Airport
MNL,RPLL,Manila,Philippines,Ninoy Aquino International Airport
MEL,YMML,Melbourne,Australia,Melbourne Airport
MXP,LIMC,Milan,Italy,Malpensa International Airport
BOM,VABB,Mumbai (Bombay),India,Chhatrapati Shivaji Maharaj International Airport
MUC,EDDM,Munich,Germany,Munich Airport
NGO,RJGG,Nagoya,Japan,Chubu Centrair International Airport
KIX,RJBB,Osaka,Japan,Kansai International Airport
OSL,ENGM,Oslo,Norway,Oslo Gardermoen Airport
CDG,LFPG,Paris,France,Charles de Gaulle International Airport
PEN,WMKP,Penang,Malaysia,Penang International Airport
PER,YPPH,Perth,Australia,Perth Airport
PNH,VDPP,Phnom Penh,Cambodia,Pochentong International Airport
CTS,RJCC,Sapporo,Japan,New Chitose Airport
ICN,RKSI,Seoul,South Korea,Incheon International Airport
PVG,ZSPD,Shanghai,China,Shanghai Pudong International Airport
SAI,VDSA,Siem Reap,Cambodia,Siem Reap–Angkor International Airport
SIN,WSSS,Singapore,Singapore,Singapore Changi Airport
ARN,ESSA,Stockholm,Sweden,Stockholm-Arlanda Airport
SYD,YSSY,Sydney,Australia,Sydney Airport
TPE,RCTP,Taipei,Taiwan,Taoyuan International Airport
HND,RJTT,Tokyo,Japan,Tokyo International Airport
NRT,RJAA,Tokyo,Japan,Narita International Airport
VTE,VLVT,Vientiane,Laos,Wattay International Airport
RGN,VYYY,Yangon (Rangoon),Myanmar,Yangon International Airport
ZRH,LSZH,Zurich,Switzerland,Zurich Airport
